battle_time,event_id,event_mode,event_map,battle_type,battle_mode,battle_result,battle_duration,battle_rank,battle_trophy_change,star_player_tag,star_player_name,star_player_brawler_id,star_player_brawler_name,star_player_brawler_power,star_player_brawler_trophies,teammate_1_tag,teammate_1_name,teammate_1_brawler_id,teammate_1_brawler_name,teammate_1_brawler_power,teammate_1_brawler_trophies,teammate_2_tag,teammate_2_name,teammate_2_brawler_id,teammate_2_brawler_name,teammate_2_brawler_power,teammate_2_brawler_trophies,teammate_3_tag,teammate_3_name,teammate_3_brawler_id,teammate_3_brawler_name,teammate_3_brawler_power,teammate_3_brawler_trophies,teammate_4_tag,teammate_4_name,teammate_4_brawler_id,teammate_4_brawler_name,teammate_4_brawler_power,teammate_4_brawler_trophies,teammate_5_tag,teammate_5_name,teammate_5_brawler_id,teammate_5_brawler_name,teammate_5_brawler_power,teammate_5_brawler_trophies
20241124T213028.000Z,15000843,gemGrab,Corkscrew,ranked,gemGrab,defeat,151.0,,-1.0,#9PY0G9VPG,Isabella❤,16000035.0,GALE,7.0,129.0,#20GYV2RP2,kimmiekim,16000060.0,SAM,6.0,119.0,#8VRVG8LLU,breadwinner,16000061.0,GUS,7.0,122.0,#2898CGQUU,thedoge,16000080.0,DRACO,7.0,127.0,,,,,,,,,,,,
20241124T212700.000Z,15000843,gemGrab,Corkscrew,ranked,gemGrab,victory,124.0,,9.0,#2898CGQUU,thedoge,16000080.0,DRACO,7.0,118.0,#2QV2VURL2R,sup3rp00p3rXoX,16000000.0,SHELLY,6.0,113.0,#28GYJ28VC,Franc,16000063.0,CHESTER,7.0,146.0,#2898CGQUU,thedoge,16000080.0,DRACO,7.0,118.0,,,,,,,,,,,,
20241124T202611.000Z,15000820,unknown,Broiler Room,ranked,siege,victory,116.0,,,#GJJ090RGQ,Dónde papeles!,16000038.0,SURGE,11.0,621.0,#GUCJCLPJ,Aliotic,16000022.0,TICK,11.0,654.0,#2898CGQUU,thedoge,16000009.0,DYNAMIKE,11.0,949.0,#GJJ090RGQ,Dónde papeles!,16000038.0,SURGE,11.0,621.0,,,,,,,,,,,,
20241124T202334.000Z,15000820,unknown,Broiler Room,ranked,siege,defeat,68.0,,,#2L2V2J08Y,carlitos,16000043.0,EDGAR,11.0,782.0,#RYQGQY20U,iñan,16000003.0,BROCK,10.0,755.0,#2898CGQUU,thedoge,16000009.0,DYNAMIKE,11.0,949.0,#RV2QVL29,huber14,16000043.0,EDGAR,11.0,730.0,,,,,,,,,,,,
20241124T202148.000Z,15000820,unknown,Broiler Room,ranked,siege,victory,109.0,,,#2898CGQUU,thedoge,16000009.0,DYNAMIKE,11.0,949.0,#GCU0JRYU0,el heroe,16000072.0,PEARL,11.0,599.0,#YGYRL0VC8,por,16000068.0,MAISIE,11.0,284.0,#2898CGQUU,thedoge,16000009.0,DYNAMIKE,11.0,949.0,,,,,,,,,,,,
20241124T201920.000Z,15000820,unknown,Broiler Room,ranked,siege,victory,56.0,,,#Q09R9P2J8,Tr0lled_,16000001.0,COLT,11.0,349.0,#Q09R9P2J8,Tr0lled_,16000001.0,COLT,11.0,349.0,#92YQLLC0G,Cunisaurio,16000019.0,PENNY,11.0,703.0,#2898CGQUU,thedoge,16000009.0,DYNAMIKE,11.0,949.0,,,,,,,,,,,,
20241124T201738.000Z,15000820,unknown,Broiler Room,ranked,siege,victory,95.0,,,#2898CGQUU,thedoge,16000009.0,DYNAMIKE,11.0,949.0,#2898CGQUU,thedoge,16000009.0,DYNAMIKE,11.0,949.0,#GQC202VPC,ELMATIPURI,16000056.0,EVE,11.0,517.0,#2JQQPGGJ,mathias🇨🇷,16000037.0,SPROUT,9.0,585.0,,,,,,,,,,,,
20241124T201526.000Z,15000820,unknown,Broiler Room,ranked,siege,defeat,108.0,,,#2Q29GJJY9,Tommy,16000014.0,BO,11.0,576.0,#GCUC00QJJ,jojo,16000023.0,LEON,9.0,391.0,#2898CGQUU,thedoge,16000009.0,DYNAMIKE,11.0,949.0,#YQP9JGGQU,cheesepuff,16000007.0,JESSIE,11.0,900.0,,,,,,,,,,,,
20241124T201313.000Z,15000820,unknown,Broiler Room,ranked,siege,victory,59.0,,,#2898CGQUU,thedoge,16000009.0,DYNAMIKE,11.0,949.0,#2898CGQUU,thedoge,16000009.0,DYNAMIKE,11.0,949.0,#JVRL0YPLJ,Habibi Houd🇵🇸,16000030.0,EMZ,9.0,523.0,#20CGP0P09R,Ninax,16000007.0,JESSIE,11.0,651.0,,,,,,,,,,,,
20241124T201149.000Z,15000820,unknown,Broiler Room,ranked,siege,defeat,93.0,,,#2898CGQUU,thedoge,16000009.0,DYNAMIKE,11.0,949.0,#P008JLQ02,~mil pop~,16000023.0,LEON,11.0,577.0,#2QLPC29LUY,erick_vh,16000061.0,GUS,6.0,471.0,#2898CGQUU,thedoge,16000009.0,DYNAMIKE,11.0,949.0,,,,,,,,,,,,
