battle_time,event_id,player_brawler_name,event_mode,event_map,battle_type,battle_mode,battle_result,battle_duration,battle_rank,battle_trophy_change,star_player_tag,star_player_name,star_player_brawler_id,star_player_brawler_name,star_player_brawler_power,star_player_brawler_trophies,teammate_1_tag,teammate_1_name,teammate_1_brawler_id,teammate_1_brawler_name,teammate_1_brawler_power,teammate_1_brawler_trophies,teammate_2_tag,teammate_2_name,teammate_2_brawler_id,teammate_2_brawler_name,teammate_2_brawler_power,teammate_2_brawler_trophies,teammate_3_tag,teammate_3_name,teammate_3_brawler_id,teammate_3_brawler_name,teammate_3_brawler_power,teammate_3_brawler_trophies,teammate_4_tag,teammate_4_name,teammate_4_brawler_id,teammate_4_brawler_name,teammate_4_brawler_power,teammate_4_brawler_trophies,teammate_5_tag,teammate_5_name,teammate_5_brawler_id,teammate_5_brawler_name,teammate_5_brawler_power,teammate_5_brawler_trophies
20241213T172341.000Z,15000051,EL PRIMO,brawlBall,Super Beach,ranked,brawlBall,victory,28.0,,8.0,#CJU28JQC,lil cuzzo,16000086.0,SHADE,10.0,8.0,#2GLCCYGC9V,SuperSurge,16000007.0,JESSIE,1.0,3.0,#2GL8YLVPGY,fettuccine,16000010.0,EL PRIMO,1.0,0.0,#CJU28JQC,lil cuzzo,16000086.0,SHADE,10.0,8.0,,,,,,,,,,,,
20241213T172517.000Z,15000701,EL PRIMO,soloShowdown,Marksman's Paradise,ranked,soloShowdown,,,2.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20241213T172757.000Z,15000701,EL PRIMO,soloShowdown,Marksman's Paradise,ranked,soloShowdown,,,1.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20241213T173128.000Z,15000701,EL PRIMO,soloShowdown,Marksman's Paradise,ranked,soloShowdown,,,1.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20241213T173255.000Z,15000701,EL PRIMO,soloShowdown,Marksman's Paradise,ranked,soloShowdown,,,1.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20241213T173444.000Z,15000701,EL PRIMO,soloShowdown,Marksman's Paradise,ranked,soloShowdown,,,1.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20241213T173635.000Z,15000701,EL PRIMO,soloShowdown,Marksman's Paradise,ranked,soloShowdown,,,2.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20241213T173909.000Z,15000701,EL PRIMO,soloShowdown,Marksman's Paradise,ranked,soloShowdown,,,1.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20241213T174139.000Z,15000701,EL PRIMO,soloShowdown,Marksman's Paradise,ranked,soloShowdown,,,1.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20241213T174306.000Z,15000701,EL PRIMO,soloShowdown,Marksman's Paradise,ranked,soloShowdown,,,2.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20241213T174509.000Z,15000701,EL PRIMO,soloShowdown,Marksman's Paradise,ranked,soloShowdown,,,8.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20241213T174553.000Z,15000701,EL PRIMO,soloShowdown,Marksman's Paradise,ranked,soloShowdown,,,8.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20241214T061631.000Z,15000015,EL PRIMO,soloShowdown,Rockwall Brawl,ranked,soloShowdown,,,6.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20241214T213404.000Z,15000228,EL PRIMO,soloShowdown,Safety Center,ranked,soloShowdown,,,6.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20241214T213454.000Z,15000228,EL PRIMO,soloShowdown,Safety Center,ranked,soloShowdown,,,7.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20241214T213858.000Z,15000228,EL PRIMO,soloShowdown,Safety Center,ranked,soloShowdown,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20241214T214011.000Z,15000228,EL PRIMO,soloShowdown,Safety Center,ranked,soloShowdown,,,6.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20241215T003930.000Z,15000228,EL PRIMO,soloShowdown,Safety Center,ranked,soloShowdown,,,1.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20241215T004142.000Z,15000228,EL PRIMO,soloShowdown,Safety Center,ranked,soloShowdown,,,8.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20241215T004525.000Z,15000228,EL PRIMO,soloShowdown,Safety Center,ranked,soloShowdown,,,7.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20241215T004716.000Z,15000228,EL PRIMO,soloShowdown,Safety Center,ranked,soloShowdown,,,3.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20241215T004807.000Z,15000228,EL PRIMO,soloShowdown,Safety Center,ranked,soloShowdown,,,6.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20241215T194016.000Z,15000228,EL PRIMO,soloShowdown,Safety Center,ranked,soloShowdown,,,6.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20241215T194137.000Z,15000228,EL PRIMO,soloShowdown,Safety Center,ranked,soloShowdown,,,3.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20241215T194536.000Z,15000228,EL PRIMO,soloShowdown,Safety Center,ranked,soloShowdown,,,4.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20241217T021948.000Z,15000032,DARRYL,soloShowdown,Acid Lakes,ranked,soloShowdown,,,1.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20241217T022139.000Z,15000032,DARRYL,soloShowdown,Acid Lakes,ranked,soloShowdown,,,3.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20241217T022254.000Z,15000032,DARRYL,soloShowdown,Acid Lakes,ranked,soloShowdown,,,2.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20241217T022452.000Z,15000032,DARRYL,soloShowdown,Acid Lakes,ranked,soloShowdown,,,2.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20241217T022701.000Z,15000032,DARRYL,soloShowdown,Acid Lakes,ranked,soloShowdown,,,1.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20241217T022853.000Z,15000032,DARRYL,soloShowdown,Acid Lakes,ranked,soloShowdown,,,6.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20241217T023315.000Z,15000032,BUZZ LIGHTYEAR,soloShowdown,Acid Lakes,ranked,soloShowdown,,,3.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20241217T023554.000Z,15000032,BUZZ LIGHTYEAR,soloShowdown,Acid Lakes,ranked,soloShowdown,,,1.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20241217T023802.000Z,15000038,BUZZ LIGHTYEAR,duoShowdown,Acid Lakes,ranked,duoShowdown,,,1.0,11.0,,,,,,,#2QGGQY9VRR,farts,16000003.0,BROCK,1.0,38.0,#2GL8YLVPGY,fettuccine,16000088.0,BUZZ LIGHTYEAR,11.0,18.0,,,,,,,,,,,,,,,,,,
20241217T041136.000Z,15000038,BUZZ LIGHTYEAR,duoShowdown,Acid Lakes,ranked,duoShowdown,,,1.0,12.0,,,,,,,#2GL8YLVPGY,fettuccine,16000088.0,BUZZ LIGHTYEAR,11.0,29.0,#8V0UP0UUY,bibiscb,16000049.0,BUZZ,1.0,23.0,,,,,,,,,,,,,,,,,,
20241217T041323.000Z,15000038,BUZZ LIGHTYEAR,duoShowdown,Acid Lakes,ranked,duoShowdown,,,1.0,13.0,,,,,,,#2GL8YLVPGY,fettuccine,16000088.0,BUZZ LIGHTYEAR,11.0,41.0,#8V0UP0UUY,bibiscb,16000049.0,BUZZ,1.0,34.0,,,,,,,,,,,,,,,,,,
20241217T041515.000Z,15000038,BUZZ LIGHTYEAR,duoShowdown,Acid Lakes,ranked,duoShowdown,,,1.0,14.0,,,,,,,#2GL8YLVPGY,fettuccine,16000088.0,BUZZ LIGHTYEAR,11.0,54.0,#8V0UP0UUY,bibiscb,16000049.0,BUZZ,1.0,46.0,,,,,,,,,,,,,,,,,,
20241217T041755.000Z,15000038,DARRYL,duoShowdown,Acid Lakes,ranked,duoShowdown,,,2.0,7.0,,,,,,,#2QRG22RJR2,Erick 902,16000088.0,BUZZ LIGHTYEAR,11.0,117.0,#2GL8YLVPGY,fettuccine,16000018.0,DARRYL,5.0,117.0,,,,,,,,,,,,,,,,,,
20241217T042045.000Z,15000038,NITA,duoShowdown,Acid Lakes,ranked,duoShowdown,,,4.0,,,,,,,,#2GL8YLVPGY,fettuccine,16000008.0,NITA,6.0,125.0,#2LYRG8UC8Y,Lunita_thv,16000070.0,CORDELIUS,1.0,151.0,,,,,,,,,,,,,,,,,,
20241217T042205.000Z,15000038,NITA,duoShowdown,Acid Lakes,ranked,duoShowdown,,,1.0,9.0,,,,,,,#2GL8YLVPGY,fettuccine,16000008.0,NITA,6.0,125.0,#2GRUC099GP,El prisas,16000088.0,BUZZ LIGHTYEAR,11.0,133.0,,,,,,,,,,,,,,,,,,
20241217T042345.000Z,15000038,NITA,duoShowdown,Acid Lakes,ranked,duoShowdown,,,1.0,10.0,,,,,,,#2GL8YLVPGY,fettuccine,16000008.0,NITA,6.0,134.0,#2G8QR2V2PC,DARK,16000023.0,LEON,5.0,130.0,,,,,,,,,,,,,,,,,,
20241217T042522.000Z,15000038,NITA,duoShowdown,Acid Lakes,ranked,duoShowdown,,,4.0,,,,,,,,#YGCLLYV8C,♡WEIINAS♡,16000088.0,BUZZ LIGHTYEAR,11.0,119.0,#2GL8YLVPGY,fettuccine,16000008.0,NITA,6.0,144.0,,,,,,,,,,,,,,,,,,
20241217T102500.000Z,15000824,DARRYL,unknown,Divine Descent,ranked,siege,defeat,91.0,,,#29G22QYUV,2crot0mbutter,16000088.0,BUZZ LIGHTYEAR,11.0,60.0,#2GL8YLVPGY,fettuccine,16000018.0,DARRYL,5.0,124.0,#2Q00C2CYCP,jljphljio,16000088.0,BUZZ LIGHTYEAR,11.0,88.0,#2QRY0880UV,undeis,16000007.0,JESSIE,11.0,189.0,,,,,,,,,,,,
20241217T102625.000Z,15000368,NITA,knockout,Belle's Rock,ranked,knockout,victory,28.0,,8.0,#22GUQGRR2Y,ПУТЬ СТАРР 2024,16000088.0,BUZZ LIGHTYEAR,11.0,119.0,#22GUQGRR2Y,ПУТЬ СТАРР 2024,16000088.0,BUZZ LIGHTYEAR,11.0,119.0,#2GL8YLVPGY,fettuccine,16000008.0,NITA,6.0,144.0,#R2RG8Q8V,𝔉𝔢𝔯𝔦🗿,16000086.0,SHADE,8.0,95.0,,,,,,,,,,,,
20241217T102814.000Z,15000368,NITA,knockout,Belle's Rock,ranked,knockout,victory,31.0,,9.0,#8CLQG2J0R,As_star👾,16000065.0,MANDY,9.0,206.0,#8CLQG2J0R,As_star👾,16000065.0,MANDY,9.0,206.0,#9VYUCLCQP,𝓐𝓵𝓮𝔁 ☄️,16000084.0,MOE,11.0,169.0,#2GL8YLVPGY,fettuccine,16000008.0,NITA,6.0,152.0,,,,,,,,,,,,
20241217T103854.000Z,15000054,NITA,bounty,Canal Grande,ranked,bounty,victory,47.0,,10.0,#UJP0UGYR,TTM|SANTLOX,16000051.0,ASH,6.0,191.0,#UJP0UGYR,TTM|SANTLOX,16000051.0,ASH,6.0,191.0,#2GL8YLVPGY,fettuccine,16000008.0,NITA,6.0,161.0,#9QJJQ0LY2,Archos,16000016.0,PAM,6.0,180.0,,,,,,,,,,,,
20241217T104058.000Z,15000054,EMZ,bounty,Canal Grande,ranked,bounty,victory,36.0,,8.0,#9U882C8L8,Tako,16000088.0,BUZZ LIGHTYEAR,11.0,63.0,#2L902GRUJ8,Mayte,16000005.0,SPIKE,2.0,68.0,#9U882C8L8,Tako,16000088.0,BUZZ LIGHTYEAR,11.0,63.0,#2GL8YLVPGY,fettuccine,16000030.0,EMZ,1.0,0.0,,,,,,,,,,,,
20241217T122458.000Z,15000054,EMZ,bounty,Canal Grande,ranked,bounty,victory,53.0,,9.0,#GV9PQGLR8,Hggusss,16000063.0,CHESTER,5.0,73.0,#29YL8VGG9,SniperGz,16000079.0,ANGELO,5.0,11.0,#2GL8YLVPGY,fettuccine,16000030.0,EMZ,1.0,8.0,#GV9PQGLR8,Hggusss,16000063.0,CHESTER,5.0,73.0,,,,,,,,,,,,
20241217T230918.000Z,15000033,EMZ,soloShowdown,Cavern Churn,ranked,soloShowdown,,,3.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20241217T231315.000Z,15000033,EMZ,soloShowdown,Cavern Churn,ranked,soloShowdown,,,6.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20241218T121921.000Z,15000033,COLT,soloShowdown,Cavern Churn,ranked,soloShowdown,,,2.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20241218T121942.000Z,15000033,COLT,soloShowdown,Cavern Churn,ranked,soloShowdown,,,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
