battle_time,event_id,event_mode,event_map,battle_type,battle_mode,battle_result,battle_duration,battle_rank,battle_trophy_change,star_player_tag,star_player_name,star_player_brawler_id,star_player_brawler_name,star_player_brawler_power,star_player_brawler_trophies,teammate_1_tag,teammate_1_name,teammate_1_brawler_id,teammate_1_brawler_name,teammate_1_brawler_power,teammate_1_brawler_trophies,teammate_2_tag,teammate_2_name,teammate_2_brawler_id,teammate_2_brawler_name,teammate_2_brawler_power,teammate_2_brawler_trophies,teammate_3_tag,teammate_3_name,teammate_3_brawler_id,teammate_3_brawler_name,teammate_3_brawler_power,teammate_3_brawler_trophies,teammate_4_tag,teammate_4_name,teammate_4_brawler_id,teammate_4_brawler_name,teammate_4_brawler_power,teammate_4_brawler_trophies,teammate_5_tag,teammate_5_name,teammate_5_brawler_id,teammate_5_brawler_name,teammate_5_brawler_power,teammate_5_brawler_trophies
20241121T021701.000Z,15000764,gemGrab,Sneaky Sneak,ranked,gemGrab,victory,85.0,,10.0,#PQ9YQQCJL,_aletsis,16000047.0,SQUEAK,11.0,651.0,#PQ9YQQCJL,_aletsis,16000047.0,SQUEAK,11.0,651.0,#2LV0PLP8G,connorli,16000039.0,COLETTE,11.0,648.0,#9CYCJLCYL,🎋ZKX|11🌀,16000019.0,PENNY,11.0,617.0,,,,,,,,,,,,
20241121T015858.000Z,15000827,unknown,Infernal Invasion,ranked,siege,defeat,92.0,,,#2JJUU2L0C,yo,16000048.0,GROM,11.0,812.0,#2LV0PLP8G,connorli,16000007.0,JESSIE,11.0,620.0,#L9QVYLUCC,KARINA,16000084.0,MOE,9.0,200.0,#99UUR0ULP,Jamal.M42🇩🇪,16000026.0,BIBI,10.0,739.0,,,,,,,,,,,,
20241121T015643.000Z,15000827,unknown,Infernal Invasion,ranked,siege,victory,58.0,,,#U0G8RQ8Y,Rol,16000048.0,GROM,10.0,719.0,#2LV0PLP8G,connorli,16000007.0,JESSIE,11.0,620.0,#U0G8RQ8Y,Rol,16000048.0,GROM,10.0,719.0,#2CL2QJRUV,DIDDYMONSTER,16000004.0,RICO,10.0,593.0,,,,,,,,,,,,
20241121T015511.000Z,15000827,unknown,Infernal Invasion,ranked,siege,victory,91.0,,,#G9PURUCGY,FLA|TIAGUIN,16000049.0,BUZZ,11.0,774.0,#G9PURUCGY,FLA|TIAGUIN,16000049.0,BUZZ,11.0,774.0,#2LV0PLP8G,connorli,16000007.0,JESSIE,11.0,620.0,#80G2V0CV,Dire,16000043.0,EDGAR,11.0,556.0,,,,,,,,,,,,
20241121T015314.000Z,15000827,unknown,Infernal Invasion,ranked,siege,defeat,92.0,,,#2VU9PVU89,fite_me_irl,16000004.0,RICO,11.0,849.0,#890VP9PUJ,@luferdicr🇨🇷,16000017.0,TARA,11.0,724.0,#2L20LVC802,Xander_js27,16000043.0,EDGAR,11.0,490.0,#2LV0PLP8G,connorli,16000007.0,JESSIE,11.0,620.0,,,,,,,,,,,,
20241121T015056.000Z,15000827,unknown,Infernal Invasion,ranked,siege,victory,96.0,,,#29UPYPUUC,🌟SPIKE🌟,16000003.0,BROCK,11.0,780.0,#9V0Y0RUJY,Nathanael,16000043.0,EDGAR,11.0,696.0,#29UPYPUUC,🌟SPIKE🌟,16000003.0,BROCK,11.0,780.0,#2LV0PLP8G,connorli,16000007.0,JESSIE,11.0,620.0,,,,,,,,,,,,
20241121T014843.000Z,15000827,unknown,Infernal Invasion,ranked,siege,victory,104.0,,,#9PVPLRVRQ,salsa de tomate,16000030.0,EMZ,11.0,669.0,#PCJLPJC9,Fo6 Gaming,16000022.0,TICK,11.0,883.0,#J2PU0QLG9,Pebo7456,16000026.0,BIBI,11.0,566.0,#2LV0PLP8G,connorli,16000007.0,JESSIE,11.0,620.0,,,,,,,,,,,,
20241121T014625.000Z,15000827,unknown,Infernal Invasion,ranked,siege,victory,145.0,,,#GLCU9PL9Q,MiniCrunch,16000048.0,GROM,10.0,565.0,#GJ2JU92Q,Coyeer🥶,16000003.0,BROCK,11.0,803.0,#9L2J990V,XeiZyYoutube,16000009.0,DYNAMIKE,11.0,799.0,#2LV0PLP8G,connorli,16000007.0,JESSIE,11.0,620.0,,,,,,,,,,,,
20241121T014331.000Z,15000827,unknown,Infernal Invasion,ranked,siege,victory,119.0,,,#JC02G0GP,OWWE/Léo,16000012.0,CROW,11.0,745.0,#GGQJ0U299,yo,16000003.0,BROCK,9.0,669.0,#JC02G0GP,OWWE/Léo,16000012.0,CROW,11.0,745.0,#2LV0PLP8G,connorli,16000007.0,JESSIE,11.0,620.0,,,,,,,,,,,,
20241121T014028.000Z,15000343,gemGrab,Rustic Arcade,ranked,gemGrab,victory,129.0,,8.0,#2LV0PLP8G,connorli,16000047.0,SQUEAK,11.0,518.0,#PLURPUQ2,CristianGM,16000013.0,POCO,10.0,526.0,#2LV0PLP8G,connorli,16000047.0,SQUEAK,11.0,518.0,#PJP0J2L8U,🦊 Adonay 🦊,16000072.0,PEARL,9.0,494.0,,,,,,,,,,,,
