battle_time,event_id,player_brawler_name,event_mode,event_map,battle_type,battle_mode,battle_result,battle_duration,battle_rank,battle_trophy_change,star_player_tag,star_player_name,star_player_brawler_id,star_player_brawler_name,star_player_brawler_power,star_player_brawler_trophies,teammate_1_tag,teammate_1_name,teammate_1_brawler_id,teammate_1_brawler_name,teammate_1_brawler_power,teammate_1_brawler_trophies,teammate_2_tag,teammate_2_name,teammate_2_brawler_id,teammate_2_brawler_name,teammate_2_brawler_power,teammate_2_brawler_trophies,teammate_3_tag,teammate_3_name,teammate_3_brawler_id,teammate_3_brawler_name,teammate_3_brawler_power,teammate_3_brawler_trophies,teammate_4_tag,teammate_4_name,teammate_4_brawler_id,teammate_4_brawler_name,teammate_4_brawler_power,teammate_4_brawler_trophies,teammate_5_tag,teammate_5_name,teammate_5_brawler_id,teammate_5_brawler_name,teammate_5_brawler_power,teammate_5_brawler_trophies
2024-12-04 17:32:41,15000096,COLT,duoShowdown,Stormy Plains,ranked,duoShowdown,,,3.0,4.0,,,,,,,#8JYJY298,FruityPebbles,16000001.0,COLT,9.0,375.0,#GQ8J2VY0V,TengoZidAsiQue,16000070.0,CORDELIUS,10.0,327.0,,,,,,,,,,,,,,,,,,
2024-12-04 16:48:30,15000096,SURGE,duoShowdown,Stormy Plains,ranked,duoShowdown,,,1.0,9.0,,,,,,,#QCUPCR9V,itsme,16000019.0,PENNY,5.0,201.0,#8JYJY298,FruityPebbles,16000038.0,SURGE,7.0,239.0,,,,,,,,,,,,,,,,,,
2024-12-04 16:46:12,15000096,SURGE,duoShowdown,Stormy Plains,ranked,duoShowdown,,,3.0,4.0,,,,,,,#8JYJY298,FruityPebbles,16000038.0,SURGE,7.0,235.0,#L0RRUVUCL,:),16000029.0,BEA,8.0,224.0,,,,,,,,,,,,,,,,,,
2024-12-04 16:43:51,15000096,SURGE,duoShowdown,Stormy Plains,ranked,duoShowdown,,,4.0,-1.0,,,,,,,#RRQQGVJ8G,IDK | LXALEJO,16000064.0,GRAY,7.0,248.0,#8JYJY298,FruityPebbles,16000038.0,SURGE,7.0,236.0,,,,,,,,,,,,,,,,,,
2024-12-04 16:41:39,15000096,SURGE,duoShowdown,Stormy Plains,ranked,duoShowdown,,,1.0,9.0,,,,,,,#8JYJY298,FruityPebbles,16000038.0,SURGE,7.0,227.0,#RRQQGVJ8G,IDK | LXALEJO,16000064.0,GRAY,7.0,239.0,,,,,,,,,,,,,,,,,,
2024-12-04 06:38:26,15000300,NANI,hotZone,Ring of Fire,soloRanked,hotZone,defeat,97.0,,,#8JYJY298,FruityPebbles,16000036.0,NANI,10.0,6.0,#VY8CP2PG,xAlbertoFGx,16000001.0,COLT,9.0,6.0,#29QVQ2G8J,Lexii🤍,16000030.0,EMZ,11.0,3.0,#8JYJY298,FruityPebbles,16000036.0,NANI,10.0,6.0,,,,,,,,,,,,
2024-12-04 06:36:03,15000054,NANI,bounty,Canal Grande,soloRanked,bounty,victory,42.0,,,#L8G8L8GYU,EMANUEL_RV,16000043.0,EDGAR,11.0,4.0,#8JYJY298,FruityPebbles,16000036.0,NANI,10.0,6.0,#L8G8L8GYU,EMANUEL_RV,16000043.0,EDGAR,11.0,4.0,#LLRPQJ9QQ,tj420,16000030.0,EMZ,11.0,4.0,,,,,,,,,,,,
2024-12-04 06:34:34,15000072,NANI,heist,Bridge Too Far,soloRanked,heist,defeat,146.0,,,#28YGY2P0PQ,MF | MADARA🇵🇷,16000001.0,COLT,10.0,6.0,#2PVYCLRLYL,chinoghini,16000030.0,EMZ,11.0,6.0,#202JLC9JYJ,Sigma,16000008.0,NITA,11.0,6.0,#8JYJY298,FruityPebbles,16000036.0,NANI,10.0,6.0,,,,,,,,,,,,
2024-12-04 06:31:16,15000368,BROCK,knockout,Belle's Rock,soloRanked,knockout,defeat,97.0,,,#PQPL8Y8P,Brawler,16000029.0,BEA,11.0,5.0,#2G89QL890G,это игра,16000022.0,TICK,9.0,6.0,#8JYJY298,FruityPebbles,16000003.0,BROCK,11.0,6.0,#GJJRPQPLQ,tony1015👹🤫😡,16000030.0,EMZ,10.0,6.0,,,,,,,,,,,,
2024-12-04 06:28:42,15000440,RICO,knockout,Flaring Phoenix,soloRanked,knockout,victory,162.0,,,#J2YUU2PG,𝕵𝖆𝖘,16000070.0,CORDELIUS,11.0,6.0,#8JYJY298,FruityPebbles,16000004.0,RICO,10.0,6.0,#GQVPVUVG9,AmaDeus,16000027.0,8-BIT,9.0,6.0,#8VLLY29GV,HeraclioHU007,16000014.0,BO,11.0,6.0,,,,,,,,,,,,
2024-12-04 06:25:14,15000019,JESSIE,heist,Safe Zone,soloRanked,heist,victory,92.0,,,#GQY80U9C0,omri,16000020.0,FRANK,11.0,6.0,#28GCPG9P2P,DHodge45,16000039.0,COLETTE,11.0,6.0,#8JYJY298,FruityPebbles,16000007.0,JESSIE,10.0,6.0,#GQY80U9C0,omri,16000020.0,FRANK,11.0,6.0,,,,,,,,,,,,
2024-12-04 06:22:48,15000132,ROSA,brawlBall,Center Stage,soloRanked,brawlBall,victory,29.0,,,#8JYJY298,FruityPebbles,16000024.0,ROSA,10.0,5.0,#GGGJUU292,🤫🧏‍♂️,16000039.0,COLETTE,11.0,5.0,#8JYJY298,FruityPebbles,16000024.0,ROSA,10.0,5.0,#PVG8V000L,AgentRaid,16000017.0,TARA,11.0,5.0,,,,,,,,,,,,
2024-12-04 06:21:23,15000025,RICO,brawlBall,Triple Dribble,soloRanked,brawlBall,defeat,150.0,,,#GC0JUVQLG,PdePaquito🦜🖤,16000009.0,DYNAMIKE,11.0,3.0,#P0RLGP8UQ,lyiLo,16000054.0,FANG,11.0,5.0,#8JYJY298,FruityPebbles,16000004.0,RICO,10.0,6.0,#2YRUU2VPC0,BigblackMEN,16000020.0,FRANK,11.0,6.0,,,,,,,,,,,,
