battle_time,event_id,event_mode,event_map,battle_type,battle_mode,battle_result,battle_duration,battle_rank,battle_trophy_change,star_player_tag,star_player_name,star_player_brawler_id,star_player_brawler_name,star_player_brawler_power,star_player_brawler_trophies,teammate_1_tag,teammate_1_name,teammate_1_brawler_id,teammate_1_brawler_name,teammate_1_brawler_power,teammate_1_brawler_trophies,teammate_2_tag,teammate_2_name,teammate_2_brawler_id,teammate_2_brawler_name,teammate_2_brawler_power,teammate_2_brawler_trophies,teammate_3_tag,teammate_3_name,teammate_3_brawler_id,teammate_3_brawler_name,teammate_3_brawler_power,teammate_3_brawler_trophies,teammate_4_tag,teammate_4_name,teammate_4_brawler_id,teammate_4_brawler_name,teammate_4_brawler_power,teammate_4_brawler_trophies,teammate_5_tag,teammate_5_name,teammate_5_brawler_id,teammate_5_brawler_name,teammate_5_brawler_power,teammate_5_brawler_trophies
20241024T162642.000Z,15000411,brawlBall,Retina,ranked,brawlBall,defeat,114.0,,-4.0,#8VLYGQJR2,La Barbie,16000012.0,CROW,11.0,340.0,#8LQCJPGR,KingKuang,16000085.0,KENJI,10.0,348.0,#QRUYYP2,Leonel ghoul,16000012.0,CROW,11.0,347.0,#29LJR2J92L,⅄∀Ɔ⋊ƎN,16000077.0,LARRY & LAWRIE,7.0,305.0,,,,,,,,,,,,
20241024T162409.000Z,15000411,brawlBall,Retina,ranked,brawlBall,victory,105.0,,9.0,#8LQCJPGR,KingKuang,16000085.0,KENJI,10.0,339.0,#8RY2GYG90,angel:v,16000037.0,SPROUT,9.0,342.0,#8LQCJPGR,KingKuang,16000085.0,KENJI,10.0,339.0,#2UJ02RCJU,QLS|RAUL,16000082.0,BERRY,11.0,342.0,,,,,,,,,,,,
20241024T162152.000Z,15000411,brawlBall,Retina,ranked,brawlBall,victory,101.0,,8.0,#PG89PGLY9,Smoothmadness,16000043.0,EDGAR,10.0,313.0,#8LQCJPGR,KingKuang,16000085.0,KENJI,10.0,331.0,#PG89PGLY9,Smoothmadness,16000043.0,EDGAR,10.0,313.0,#29V0RQCPJ,Ra’s al Ghul,16000082.0,BERRY,11.0,328.0,,,,,,,,,,,,
20241024T161930.000Z,15000411,brawlBall,Retina,ranked,brawlBall,defeat,150.0,,-4.0,#PYYYYRG20,KEINNERMC,16000061.0,GUS,9.0,323.0,#QJYJG808L,PROfessorMarcus,16000029.0,BEA,7.0,311.0,#Q999RY8G9,Big Unc,16000052.0,MEG,9.0,326.0,#8LQCJPGR,KingKuang,16000085.0,KENJI,10.0,335.0,,,,,,,,,,,,
20241024T161632.000Z,15000411,brawlBall,Retina,ranked,brawlBall,defeat,119.0,,-4.0,#2P2ULP002,Chris,16000085.0,KENJI,11.0,313.0,#PQG2PGGRJ,xXmilluXx,16000070.0,CORDELIUS,9.0,342.0,#8LQCJPGR,KingKuang,16000085.0,KENJI,10.0,339.0,#QRP20CL9C,elbroudef,16000080.0,DRACO,7.0,337.0,,,,,,,,,,,,
20241024T161359.000Z,15000411,brawlBall,Retina,ranked,brawlBall,victory,41.0,,8.0,#8LQCJPGR,KingKuang,16000085.0,KENJI,10.0,331.0,#8LQCJPGR,KingKuang,16000085.0,KENJI,10.0,331.0,#92UCLJ98P,nano is ur dad,16000028.0,SANDY,11.0,597.0,#9VVRVVVYY,S_L_A_Y_E_R,16000076.0,KIT,11.0,599.0,,,,,,,,,,,,
20241024T011829.000Z,15000118,brawlBall,Pinball Dreams,ranked,brawlBall,defeat,150.0,,-4.0,#QY9222JRV,TNDrewyDrew13,16000085.0,KENJI,11.0,331.0,#8CYPU9Y2V,ON|sortudinho,16000011.0,MORTIS,9.0,322.0,#LUL09JVPL,Sakayanagi17,16000026.0,BIBI,8.0,331.0,#8LQCJPGR,KingKuang,16000085.0,KENJI,10.0,335.0,,,,,,,,,,,,
20241022T064307.000Z,15000731,soloShowdown,FiftyFive,ranked,soloShowdown,,,3.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20241022T064040.000Z,15000731,soloShowdown,FiftyFive,ranked,soloShowdown,,,10.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20241021T233644.000Z,15000731,soloShowdown,FiftyFive,ranked,soloShowdown,,,2.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20241021T233405.000Z,15000381,volleyBrawl,Pancake,ranked,volleyBrawl,victory,113.0,,9.0,#2LL9Y0V9YP,Thyago,16000004.0,RICO,7.0,297.0,#8LQCJPGR,KingKuang,16000076.0,KIT,11.0,306.0,#2LL9Y0V9YP,Thyago,16000004.0,RICO,7.0,297.0,#2229P0YJR,jeremy,16000085.0,KENJI,11.0,149.0,,,,,,,,,,,,
20241021T233136.000Z,15000381,volleyBrawl,Pancake,ranked,volleyBrawl,victory,115.0,,8.0,#9Q2UQJ092,❄Mystic Silver❄,16000085.0,KENJI,10.0,317.0,#9Q2UQJ092,❄Mystic Silver❄,16000085.0,KENJI,10.0,317.0,#98GQLG8G,Danyhet1,16000044.0,RUFFS,9.0,341.0,#8LQCJPGR,KingKuang,16000076.0,KIT,11.0,298.0,,,,,,,,,,,,
20241021T232918.000Z,15000381,volleyBrawl,Pancake,ranked,volleyBrawl,defeat,79.0,,-4.0,#G0JUUC2U9,Daddy,16000003.0,BROCK,11.0,332.0,#9PQJ8JV,LsmittyXI,16000080.0,DRACO,10.0,326.0,#PR0VPVL,M E S O L O,16000075.0,MICO,9.0,328.0,#8LQCJPGR,KingKuang,16000076.0,KIT,11.0,302.0,,,,,,,,,,,,
20241021T192827.000Z,15000381,volleyBrawl,Pancake,ranked,volleyBrawl,victory,176.0,,12.0,#8LQCJPGR,KingKuang,16000076.0,KIT,11.0,290.0,#2YRV8JQ9C,Hector,16000082.0,BERRY,6.0,254.0,#Y2GV2GJUY,nicolas v.v,16000070.0,CORDELIUS,10.0,252.0,#8LQCJPGR,KingKuang,16000076.0,KIT,11.0,290.0,,,,,,,,,,,,
20241021T192503.000Z,15000381,volleyBrawl,Pancake,ranked,volleyBrawl,victory,38.0,,11.0,#8V00GCJG,atm98,16000080.0,DRACO,10.0,158.0,#8V00GCJG,atm98,16000080.0,DRACO,10.0,158.0,#9PYGJ2V9,powerbeam,16000017.0,TARA,1.0,197.0,#8LQCJPGR,KingKuang,16000076.0,KIT,11.0,279.0,,,,,,,,,,,,
20241021T192331.000Z,15000381,volleyBrawl,Pancake,ranked,volleyBrawl,victory,172.0,,10.0,#8LQCJPGR,KingKuang,16000020.0,FRANK,9.0,520.0,#8JL8VG8UR,Cobrakai30,16000067.0,WILLOW,10.0,566.0,#Y8VVPYYUV,GL|cuztrd,16000005.0,SPIKE,11.0,560.0,#8LQCJPGR,KingKuang,16000020.0,FRANK,9.0,520.0,,,,,,,,,,,,
20241021T192014.000Z,15000763,brawlBall,Offside Trap,ranked,brawlBall,victory,68.0,,9.0,#8JLPCG88R,Cristo,16000017.0,TARA,11.0,498.0,#8LQCJPGR,KingKuang,16000020.0,FRANK,9.0,511.0,#8JLPCG88R,Cristo,16000017.0,TARA,11.0,498.0,#JCCGQG0Q,•●KRONOS●•,16000056.0,EVE,10.0,519.0,,,,,,,,,,,,
20241021T191740.000Z,15000763,brawlBall,Offside Trap,ranked,brawlBall,victory,117.0,,8.0,#28LLJVU2U,dani,16000038.0,SURGE,11.0,794.0,#8LQCJPGR,KingKuang,16000009.0,DYNAMIKE,11.0,790.0,#YQGCYYV0Y,⚡whiffle,16000085.0,KENJI,11.0,790.0,#28LLJVU2U,dani,16000038.0,SURGE,11.0,794.0,,,,,,,,,,,,
20241021T045603.000Z,15000025,brawlBall,Triple Dribble,ranked,brawlBall,defeat,92.0,,-8.0,#8Q9CJ0YVU,ɮʟǟֆɛʀ,16000043.0,EDGAR,11.0,819.0,#P0PRVC0GU,🥵Madassa🥶,16000067.0,WILLOW,11.0,818.0,#8LQCJPGR,KingKuang,16000009.0,DYNAMIKE,11.0,798.0,#2L0PPGUQ2,YT|RoKo_KaRl,16000026.0,BIBI,11.0,811.0,,,,,,,,,,,,
20241021T045132.000Z,15000025,brawlBall,Triple Dribble,ranked,brawlBall,defeat,51.0,,-9.0,#Y2UY8LCYJ,ャNázz💞,16000026.0,BIBI,11.0,794.0,#9Q8929VYG,BS|saba,16000011.0,MORTIS,11.0,817.0,#8LQCJPGR,KingKuang,16000009.0,DYNAMIKE,11.0,807.0,#YQQVGLPRL,³⁰³AMAZON♧♧,16000001.0,COLT,11.0,802.0,,,,,,,,,,,,
20241021T044936.000Z,15000025,brawlBall,Triple Dribble,ranked,brawlBall,defeat,45.0,,-2.0,#8YU0V82R9,TS|UMUTR61,16000084.0,MOE,10.0,198.0,#J9G9PLU8,pastox_09,16000085.0,KENJI,10.0,159.0,#8LQCJPGR,KingKuang,16000072.0,PEARL,7.0,171.0,#R9CRJPL0,SC_LEGEND8,16000041.0,LOU,11.0,159.0,,,,,,,,,,,,
20241021T044800.000Z,15000025,brawlBall,Triple Dribble,ranked,brawlBall,victory,108.0,,11.0,#YPPRGVJV8,ARTREP,16000085.0,KENJI,11.0,160.0,#8LQCJPGR,KingKuang,16000072.0,PEARL,7.0,160.0,#GQVJUGCCV,ERTR,16000080.0,DRACO,11.0,151.0,#2UR0V899U,Thomas,16000067.0,WILLOW,5.0,105.0,,,,,,,,,,,,
20241019T050955.000Z,15000143,brawlBall,Beach Ball,ranked,brawlBall,victory,150.0,,10.0,#YGC0299VG,lilbaby,16000084.0,MOE,8.0,95.0,#28CCUY2JU,Steve,16000076.0,KIT,7.0,116.0,#8LQCJPGR,KingKuang,16000072.0,PEARL,7.0,150.0,#20RCYLYRJ8,Phaser,16000085.0,KENJI,6.0,158.0,,,,,,,,,,,,
20241017T221334.000Z,15000024,brawlBall,Backyard Bowl,ranked,brawlBall,victory,130.0,,9.0,#89YYPUR9,ivxBossqcEZ,16000078.0,MELODIE,4.0,185.0,#89YYPUR9,ivxBossqcEZ,16000078.0,MELODIE,4.0,185.0,#8GC828CCR,KingKong🐵,16000073.0,CHUCK,4.0,114.0,#8LQCJPGR,KingKuang,16000072.0,PEARL,7.0,141.0,,,,,,,,,,,,
20241017T221041.000Z,15000024,brawlBall,Backyard Bowl,ranked,brawlBall,victory,37.0,,8.0,#J2VP00CLV,Mitch🙂‍↕️✋,16000028.0,SANDY,8.0,49.0,#8LQCJPGR,KingKuang,16000072.0,PEARL,7.0,133.0,#9RGYP2G0U,IBODYU4FUN,16000085.0,KENJI,8.0,102.0,#J2VP00CLV,Mitch🙂‍↕️✋,16000028.0,SANDY,8.0,49.0,,,,,,,,,,,,
20241203T232429.000Z,15000051,brawlBall,Super Beach,ranked,brawlBall,defeat,145.0,,-5.0,#2LLY8YY2QP,puñe,16000084.0,MOE,11.0,788.0,#2YPR0R009J,♠★ÇÃRLØS★♠,16000080.0,DRACO,9.0,776.0,#8LQCJPGR,KingKuang,16000009.0,DYNAMIKE,11.0,780.0,#RU0JGL9PG,Devin AA,16000038.0,SURGE,11.0,791.0,,,,,,,,,,,,
20241129T003338.000Z,15000118,brawlBall,Pinball Dreams,ranked,brawlBall,defeat,150.0,,-3.0,#LQ9J8QR00,gamacrack,16000080.0,DRACO,11.0,496.0,#8LQCJPGR,KingKuang,16000029.0,BEA,10.0,504.0,#PLYVUJ0RQ,N.M!,16000002.0,BULL,9.0,500.0,#RPGVL92V,kEthuy,16000005.0,SPIKE,11.0,495.0,,,,,,,,,,,,
20241128T222922.000Z,15000118,brawlBall,Pinball Dreams,ranked,brawlBall,victory,182.0,,13.0,#2VYQC8V8U,MuyBravo,16000004.0,RICO,11.0,775.0,#Q20PQ2P2,ayuwoki-_78,16000049.0,BUZZ,11.0,577.0,#2VYQC8V8U,MuyBravo,16000004.0,RICO,11.0,775.0,#8LQCJPGR,KingKuang,16000009.0,DYNAMIKE,11.0,767.0,,,,,,,,,,,,
20241128T222540.000Z,15000118,brawlBall,Pinball Dreams,ranked,brawlBall,victory,49.0,,8.0,#8LQCJPGR,KingKuang,16000009.0,DYNAMIKE,11.0,759.0,#Y8VCVJVPP,Zoro🇱🇧🇱🇧,16000038.0,SURGE,10.0,798.0,#8LQCJPGR,KingKuang,16000009.0,DYNAMIKE,11.0,759.0,#LJGQPLPY8,CaracolaGamer,16000001.0,COLT,11.0,764.0,,,,,,,,,,,,
20241128T222430.000Z,15000118,brawlBall,Pinball Dreams,ranked,brawlBall,defeat,37.0,,-5.0,#LY9J82P80,Mr.Tbone,16000069.0,HANK,10.0,764.0,#G8UV28P29,Vriex101,16000011.0,MORTIS,11.0,764.0,#8LQCJPGR,KingKuang,16000009.0,DYNAMIKE,11.0,764.0,#9298UGPGV,landonmaster,16000085.0,KENJI,10.0,764.0,,,,,,,,,,,,
20241127T071933.000Z,15000846,brawlBall,Razzle Dazzle,ranked,brawlBall,defeat,122.0,,-3.0,#CJGGJC9,nepeta leijon♌️,16000030.0,EMZ,11.0,799.0,#YPQPPLUP,Carter,16000000.0,SHELLY,11.0,673.0,#YU0JJQQ2,yeet,16000009.0,DYNAMIKE,11.0,804.0,#8LQCJPGR,KingKuang,16000004.0,RICO,10.0,517.0,,,,,,,,,,,,
20241127T071701.000Z,15000846,brawlBall,Razzle Dazzle,ranked,brawlBall,victory,44.0,,9.0,#YPQPPLUP,Carter,16000000.0,SHELLY,11.0,664.0,#YPQPPLUP,Carter,16000000.0,SHELLY,11.0,664.0,#YU0JJQQ2,yeet,16000009.0,DYNAMIKE,11.0,795.0,#8LQCJPGR,KingKuang,16000004.0,RICO,10.0,508.0,,,,,,,,,,,,
20241127T071547.000Z,15000846,brawlBall,Razzle Dazzle,ranked,brawlBall,victory,187.0,,8.0,#8LQCJPGR,KingKuang,16000004.0,RICO,10.0,500.0,#YPQPPLUP,Carter,16000000.0,SHELLY,11.0,656.0,#YU0JJQQ2,yeet,16000009.0,DYNAMIKE,11.0,787.0,#8LQCJPGR,KingKuang,16000004.0,RICO,10.0,500.0,,,,,,,,,,,,
20241127T071142.000Z,15000846,brawlBall,Razzle Dazzle,ranked,brawlBall,defeat,75.0,,-2.0,#8JLYPPCC9,hoohoolikeme,16000077.0,LARRY & LAWRIE,11.0,796.0,#YPQPPLUP,Carter,16000000.0,SHELLY,11.0,660.0,#YU0JJQQ2,yeet,16000009.0,DYNAMIKE,11.0,792.0,#8LQCJPGR,KingKuang,16000085.0,KENJI,10.0,342.0,,,,,,,,,,,,
20241127T070646.000Z,15000115,gemGrab,Double Swoosh,soloRanked,gemGrab,victory,123.0,,,#8LQCJPGR,KingKuang,16000076.0,KIT,11.0,1.0,#YPQPPLUP,Carter,16000009.0,DYNAMIKE,11.0,1.0,#YU0JJQQ2,yeet,16000019.0,PENNY,11.0,1.0,#8LQCJPGR,KingKuang,16000076.0,KIT,11.0,1.0,,,,,,,,,,,,
20241127T070221.000Z,15000846,brawlBall,Razzle Dazzle,ranked,brawlBall,defeat,85.0,,-5.0,#P9LGYRPPJ,LASTTT,16000026.0,BIBI,11.0,768.0,#YPQPPLUP,Carter,16000000.0,SHELLY,11.0,664.0,#8LQCJPGR,KingKuang,16000009.0,DYNAMIKE,11.0,769.0,#YU0JJQQ2,yeet,16000019.0,PENNY,11.0,492.0,,,,,,,,,,,,
20241127T065639.000Z,15000846,brawlBall,Razzle Dazzle,ranked,brawlBall,defeat,129.0,,-5.0,#29Q2YV2GU,Joe392,16000040.0,AMBER,11.0,741.0,#YPQPPLUP,Carter,16000063.0,CHESTER,11.0,556.0,#YU0JJQQ2,yeet,16000005.0,SPIKE,11.0,285.0,#8LQCJPGR,KingKuang,16000009.0,DYNAMIKE,11.0,774.0,,,,,,,,,,,,
20241127T065130.000Z,15000846,brawlBall,Razzle Dazzle,ranked,brawlBall,defeat,86.0,,-2.0,#QCYVRCVC,TS|DaN1Lッ,16000012.0,CROW,11.0,797.0,#YPQPPLUP,Carter,16000000.0,SHELLY,11.0,668.0,#YU0JJQQ2,yeet,16000009.0,DYNAMIKE,11.0,797.0,#8LQCJPGR,KingKuang,16000085.0,KENJI,10.0,344.0,,,,,,,,,,,,
20241021T233136.000Z,15000381,volleyBrawl,Pancake,ranked,volleyBrawl,victory,115.0,,8.0,#9Q2UQJ092,BLZ | Vyrus,16000085.0,KENJI,10.0,317.0,#9Q2UQJ092,BLZ | Vyrus,16000085.0,KENJI,10.0,317.0,#98GQLG8G,Danyhet1,16000044.0,RUFFS,9.0,341.0,#8LQCJPGR,KingKuang,16000076.0,KIT,11.0,298.0,,,,,,,,,,,,
20241211T231308.000Z,15000050,brawlBall,Sneaky Fields,ranked,brawlBall,defeat,153.0,,-3.0,#2QRY28PPLQ,🗣️el primo!!,16000020.0,FRANK,8.0,522.0,#PGYLRLPU8,Jotaro Kujo,16000086.0,SHADE,11.0,524.0,#8LQCJPGR,KingKuang,16000020.0,FRANK,9.0,524.0,#PVQ002CUC,☆ĐƏMØŇ☆,16000011.0,MORTIS,10.0,520.0,,,,,,,,,,,,
20241211T230957.000Z,15000050,brawlBall,Sneaky Fields,ranked,brawlBall,defeat,102.0,,-5.0,#PUVY29LCY,ReesesPuffs,16000038.0,SURGE,11.0,698.0,#8LQCJPGR,KingKuang,16000009.0,DYNAMIKE,11.0,770.0,#JGRVCVGV,John|Gujape⁹⁹⁹,16000062.0,BUSTER,11.0,795.0,#2L8YLCUP9R,I AM DEATH,16000011.0,MORTIS,11.0,776.0,,,,,,,,,,,,
