battle_time,event_id,player_brawler_name,event_mode,event_map,battle_type,battle_mode,battle_result,battle_duration,battle_rank,battle_trophy_change,star_player_tag,star_player_name,star_player_brawler_id,star_player_brawler_name,star_player_brawler_power,star_player_brawler_trophies,teammate_1_tag,teammate_1_name,teammate_1_brawler_id,teammate_1_brawler_name,teammate_1_brawler_power,teammate_1_brawler_trophies,teammate_2_tag,teammate_2_name,teammate_2_brawler_id,teammate_2_brawler_name,teammate_2_brawler_power,teammate_2_brawler_trophies,teammate_3_tag,teammate_3_name,teammate_3_brawler_id,teammate_3_brawler_name,teammate_3_brawler_power,teammate_3_brawler_trophies,teammate_4_tag,teammate_4_name,teammate_4_brawler_id,teammate_4_brawler_name,teammate_4_brawler_power,teammate_4_brawler_trophies,teammate_5_tag,teammate_5_name,teammate_5_brawler_id,teammate_5_brawler_name,teammate_5_brawler_power,teammate_5_brawler_trophies
2024-12-06 20:27:21,15000019,SPIKE,heist,Safe Zone,soloRanked,heist,defeat,150.0,,,#8J82LR9JL,Bjorn🔱,16000087.0,JUJU,10.0,1.0,#2G2V8PUL80,EZ GOING CRAYON,16000047.0,SQUEAK,10.0,1.0,#LQQYGCV29,colin,16000005.0,SPIKE,11.0,1.0,#G8CYVJLQ2,KingBannaboy14,16000004.0,RICO,9.0,1.0,,,,,,,,,,,,
2024-12-06 20:23:43,15000054,BIBI,bounty,Canal Grande,soloRanked,bounty,victory,42.0,,,#8C8PRJGCR,all might,16000002.0,BULL,11.0,1.0,#8C8PRJGCR,all might,16000002.0,BULL,11.0,1.0,#LQQYGCV29,colin,16000026.0,BIBI,9.0,1.0,#QRUGPJLJG,Brocky,16000034.0,JACKY,10.0,1.0,,,,,,,,,,,,
2024-12-06 20:22:12,15000293,BERRY,hotZone,Parallel Plays,soloRanked,hotZone,defeat,71.0,,,#2PRP0U9G,Calderón,16000043.0,EDGAR,11.0,1.0,#2Y0809C990,Crowlover,16000009.0,DYNAMIKE,11.0,1.0,#288RCVLCU2,buddusyy,16000049.0,BUZZ,9.0,1.0,#LQQYGCV29,colin,16000082.0,BERRY,10.0,1.0,,,,,,,,,,,,
2024-12-06 20:19:21,15000367,BUSTER,knockout,Goldarm Gulch,soloRanked,knockout,defeat,145.0,,,#Q8QP0Q89J,adair_1z,16000027.0,8-BIT,11.0,1.0,#LQQYGCV29,colin,16000062.0,BUSTER,9.0,1.0,#2YC2YJCC08,berry,16000019.0,PENNY,9.0,1.0,#Q8QP0Q89J,adair_1z,16000027.0,8-BIT,11.0,1.0,,,,,,,,,,,,
2024-12-06 20:15:57,15000022,TICK,bounty,Hideout,soloRanked,bounty,victory,52.0,,,#9LPY22Y82,your mom,16000006.0,BARLEY,10.0,1.0,#2LY9CJ28LG,Jacque,16000005.0,SPIKE,11.0,1.0,#LQQYGCV29,colin,16000022.0,TICK,9.0,1.0,#9LPY22Y82,your mom,16000006.0,BARLEY,10.0,1.0,,,,,,,,,,,,
2024-12-06 20:14:01,15000050,ASH,brawlBall,Sneaky Fields,soloRanked,brawlBall,victory,92.0,,,#GC8CP8CLV,waterboy20,16000007.0,JESSIE,11.0,1.0,#2QLJVQ8YRG,speedius,16000070.0,CORDELIUS,9.0,1.0,#GC8CP8CLV,waterboy20,16000007.0,JESSIE,11.0,1.0,#LQQYGCV29,colin,16000051.0,ASH,9.0,1.0,,,,,,,,,,,,
2024-12-06 20:11:17,15000440,TICK,knockout,Flaring Phoenix,soloRanked,knockout,victory,40.0,,,#LQQYGCV29,colin,16000022.0,TICK,9.0,1.0,#8PU0R9YJY,gothjesus,16000084.0,MOE,11.0,1.0,#LQQYGCV29,colin,16000022.0,TICK,9.0,1.0,#PR009PGQY,5-27julian,16000045.0,STU,9.0,1.0,,,,,,,,,,,,
2024-12-06 04:48:44,15000306,SPIKE,hotZone,Dueling Beetles,ranked,hotZone,victory,125.0,,8.0,#R8GCUVPL0,mango mango 07,16000081.0,LILY,11.0,770.0,#R8GCUVPL0,mango mango 07,16000081.0,LILY,11.0,770.0,#LQQYGCV29,colin,16000005.0,SPIKE,11.0,730.0,#20YYVULLPU,Alejandra,16000026.0,BIBI,11.0,738.0,,,,,,,,,,,,
2024-12-06 04:45:45,15000306,SPIKE,hotZone,Dueling Beetles,ranked,hotZone,defeat,153.0,,-5.0,#CV9PUCC,daniel,16000009.0,DYNAMIKE,10.0,787.0,#28LGUYV29P,Fein,16000022.0,TICK,11.0,723.0,#LQQYGCV29,colin,16000005.0,SPIKE,11.0,735.0,#82YJVYR9C,ANGEL.G145,16000051.0,ASH,11.0,788.0,,,,,,,,,,,,
2024-12-06 04:42:36,15000306,SPIKE,hotZone,Dueling Beetles,ranked,hotZone,defeat,111.0,,-5.0,#J8YLJGJ,Juli9902,16000048.0,GROM,10.0,538.0,#9L0V8GCQ,MrByer,16000082.0,BERRY,11.0,698.0,#29QU0UURV,alex.runs,16000085.0,KENJI,11.0,731.0,#LQQYGCV29,colin,16000005.0,SPIKE,11.0,740.0,,,,,,,,,,,,
