battle_time,event_id,player_brawler_name,event_mode,event_map,battle_type,battle_mode,battle_result,battle_duration,battle_rank,battle_trophy_change,star_player_tag,star_player_name,star_player_brawler_id,star_player_brawler_name,star_player_brawler_power,star_player_brawler_trophies,teammate_1_tag,teammate_1_name,teammate_1_brawler_id,teammate_1_brawler_name,teammate_1_brawler_power,teammate_1_brawler_trophies,teammate_2_tag,teammate_2_name,teammate_2_brawler_id,teammate_2_brawler_name,teammate_2_brawler_power,teammate_2_brawler_trophies,teammate_3_tag,teammate_3_name,teammate_3_brawler_id,teammate_3_brawler_name,teammate_3_brawler_power,teammate_3_brawler_trophies,teammate_4_tag,teammate_4_name,teammate_4_brawler_id,teammate_4_brawler_name,teammate_4_brawler_power,teammate_4_brawler_trophies,teammate_5_tag,teammate_5_name,teammate_5_brawler_id,teammate_5_brawler_name,teammate_5_brawler_power,teammate_5_brawler_trophies
2024-11-27 19:00:12,15000796,DOUG,trioShowdown,Ring 'o Brawlin,ranked,duoShowdown,,,4.0,,,,,,,,#V2LLC89Q,SerialNonce,16000071.0,DOUG,5.0,83.0,#2RJ8G8VQ0,nemo,16000020.0,FRANK,11.0,617.0,#GJQJGGQ00,colt,16000085.0,KENJI,9.0,426.0,,,,,,,,,,,,
2024-11-27 18:57:33,15000796,DOUG,trioShowdown,Ring 'o Brawlin,ranked,duoShowdown,,,2.0,,,,,,,,#PRGQ0JYLJ,бэбрик,16000030.0,EMZ,11.0,847.0,#289ULJU0,Dario,16000030.0,EMZ,11.0,804.0,#V2LLC89Q,SerialNonce,16000071.0,DOUG,5.0,83.0,,,,,,,,,,,,
2024-11-27 18:55:02,15000796,DOUG,trioShowdown,Ring 'o Brawlin,ranked,duoShowdown,,,1.0,,,,,,,,#V2LLC89Q,SerialNonce,16000071.0,DOUG,5.0,83.0,#PQ80QPGR,squishy4478,16000000.0,SHELLY,10.0,428.0,#2LCVQ0G2V0,chickensad,16000015.0,PIPER,11.0,817.0,,,,,,,,,,,,
2024-11-27 17:44:48,15000018,NITA,heist,Kaboom Canyon,soloRanked,heist,victory,59.0,,,#UURYRGP2,ThotMan123,16000000.0,SHELLY,11.0,5.0,#UURYRGP2,ThotMan123,16000000.0,SHELLY,11.0,5.0,#V2LLC89Q,SerialNonce,16000008.0,NITA,11.0,7.0,#2YRUVYCY98,i hate edgars,16000007.0,JESSIE,9.0,7.0,,,,,,,,,,,,
2024-11-27 17:42:29,15000007,COLETTE,gemGrab,Hard Rock Mine,soloRanked,gemGrab,defeat,82.0,,,#28RR2R8U9Q,roger,16000035.0,GALE,11.0,7.0,#UURYRGP2,ThotMan123,16000020.0,FRANK,11.0,5.0,#V2LLC89Q,SerialNonce,16000039.0,COLETTE,11.0,7.0,#2LP8JV2LUR,El toca toca,16000009.0,DYNAMIKE,11.0,7.0,,,,,,,,,,,,
2024-11-27 17:40:15,15000022,MELODIE,bounty,Hideout,soloRanked,bounty,victory,83.0,,,#UURYRGP2,ThotMan123,16000000.0,SHELLY,11.0,5.0,#228PYY89JU,stella,16000030.0,EMZ,9.0,7.0,#UURYRGP2,ThotMan123,16000000.0,SHELLY,11.0,5.0,#V2LLC89Q,SerialNonce,16000078.0,MELODIE,10.0,7.0,,,,,,,,,,,,
2024-11-27 17:37:43,15000019,MANDY,heist,Safe Zone,soloRanked,heist,defeat,150.0,,,#V2LLC89Q,SerialNonce,16000065.0,MANDY,9.0,7.0,#22L9CP0982,skibidislicerz,16000009.0,DYNAMIKE,11.0,7.0,#UURYRGP2,ThotMan123,16000000.0,SHELLY,11.0,5.0,#V2LLC89Q,SerialNonce,16000065.0,MANDY,9.0,7.0,,,,,,,,,,,,
2024-11-27 17:34:31,15000115,DYNAMIKE,gemGrab,Double Swoosh,soloRanked,gemGrab,defeat,102.0,,,#2LLGG9QLPU,Messi10,16000026.0,BIBI,11.0,7.0,#UURYRGP2,ThotMan123,16000000.0,SHELLY,11.0,5.0,#V2LLC89Q,SerialNonce,16000009.0,DYNAMIKE,11.0,7.0,#2298LCV9GU,Storm,16000005.0,SPIKE,11.0,7.0,,,,,,,,,,,,
2024-11-27 17:31:50,15000300,MAISIE,hotZone,Ring of Fire,soloRanked,hotZone,defeat,96.0,,,#2QLQGU28LP,birbo300,16000027.0,8-BIT,9.0,4.0,#UURYRGP2,ThotMan123,16000000.0,SHELLY,11.0,5.0,#V2LLC89Q,SerialNonce,16000068.0,MAISIE,11.0,8.0,#2PQQG8UCC2,servando,16000003.0,BROCK,10.0,8.0,,,,,,,,,,,,
2024-11-27 17:29:13,15000050,MELODIE,brawlBall,Sneaky Fields,soloRanked,brawlBall,victory,75.0,,,#UURYRGP2,ThotMan123,16000000.0,SHELLY,11.0,4.0,#UURYRGP2,ThotMan123,16000000.0,SHELLY,11.0,4.0,#V2LLC89Q,SerialNonce,16000078.0,MELODIE,10.0,7.0,#808YQQC,Cabra Loca,16000045.0,STU,9.0,7.0,,,,,,,,,,,,
