trophies,3vs3Victories,soloVictories,duoVictories,bestRoboRumbleTime
38873,0,0,0,0
38203,0,0,0,0
38219,0,0,0,0
39219,0,0,0,0
39570,0,0,0,0
39498,0,0,0,0
39467,0,0,0,0
38060,0,0,0,0
38134,0,0,0,0
39684,0,0,0,0
38176,0,0,0,0
39818,0,0,0,0
38729,0,0,0,0
38778,0,0,0,0
38873,7363,447,868,7
38203,7278,444,854,7
38219,7286,444,854,7
39219,7410,447,868,7
39570,7452,447,875,7
39498,7449,447,872,7
39467,7449,447,872,7
38060,7210,438,854,7
38134,7234,441,854,7
39684,7490,447,882,7
38176,7263,444,854,7
39818,7541,447,882,7
38729,7334,447,861,7
38778,7357,447,865,7
40245,7670,447,898,7
