trophies,3vs3Victories,soloVictories,duoVictories,bestRoboRumbleTime
12974,0,0,0,0
12495,0,0,0,0
12426,0,0,0,0
13543,0,0,0,0
12994,0,0,0,0
12680,0,0,0,0
13576,0,0,0,0
12621,0,0,0,0
12536,0,0,0,0
12710,0,0,0,0
12524,0,0,0,0
13161,0,0,0,0
12422,0,0,0,0
13255,0,0,0,0
13431,0,0,0,0
12974,1555,117,197,0
12495,1504,106,193,0
12426,1501,102,193,0
13543,1601,118,209,0
12994,1555,117,199,0
12680,1529,108,193,0
13576,1605,118,209,0
12621,1522,107,193,0
12536,1514,106,193,0
12710,1529,111,194,0
12680,1529,108,194,0
12524,1514,106,193,0
13161,1571,118,199,0
12422,1500,102,193,0
13255,1581,118,199,0
13431,1598,118,202,0
14442,1696,119,229,0
