trophies,3vs3Victories,soloVictories,duoVictories,bestRoboRumbleTime
33451,0,0,0,0
33129,0,0,0,0
33063,0,0,0,0
33424,0,0,0,0
33055,0,0,0,0
33428,0,0,0,0
33497,0,0,0,0
32981,0,0,0,0
33495,0,0,0,0
33576,0,0,0,0
33422,0,0,0,0
33009,0,0,0,0
33374,0,0,0,0
33338,0,0,0,0
33625,0,0,0,0
33451,6180,486,649,5
33129,6138,486,645,5
33063,6131,486,640,5
33424,6176,486,649,5
33055,6109,486,629,5
33428,6220,486,650,5
33428,6225,486,650,5
33497,6263,486,654,5
32981,6119,486,630,5
33495,6208,486,650,5
33576,6279,486,655,5
33422,6213,486,650,5
33009,6111,486,630,5
33374,6170,486,649,5
33338,6161,486,645,5
33625,6296,486,658,5
33845,6434,487,674,5
