trophies,3vs3Victories,soloVictories,duoVictories,bestRoboRumbleTime
31582,5628,586,417,6
30843,5522,570,408,6
30863,5530,570,408,6
31565,5619,585,417,6
30795,5503,570,408,6
30795,5511,570,408,6
30800,5512,570,408,6
31012,5553,571,413,6
31226,5569,580,413,6
30846,5518,570,408,6
30905,5532,570,411,6
31728,5658,586,417,6
31769,5667,589,421,6
31739,5666,587,417,6
31565,5619,586,417,6
32009,5710,589,421,6
32009,5705,589,421,6
31711,5648,586,417,6
31199,5561,580,413,6
31117,5553,579,413,6
31012,5545,571,413,6
31535,5607,585,413,6
31874,5678,589,421,6
